,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure
3,D: 80% RE 2050 Mandate,2045,$75k-$100k,0.16517351930376553,0.21844083374819273,0.13421294421911822
4,D: 80% RE 2050 Mandate,2045,$100k-$125k,0.16232042253168896,0.2318368655362246,0.12068882501575089
5,D: 80% RE 2050 Mandate,2045,$125k-$150k,0.17666247250514655,0.2460826685853587,0.1186966688147918
6,D: 80% RE 2050 Mandate,2045,>$150k,0.16093976639369922,0.2502430190994673,0.08988011411261904
0,D: 80% RE 2050 Mandate,2050,<$25k,0.10366306902578584,0.14589915626738037,0.08824661448235473
1,D: 80% RE 2050 Mandate,2050,$25k-$50k,0.10372622488481528,0.12815232107487354,0.08088945388356009
2,D: 80% RE 2050 Mandate,2050,$50k-$75k,0.10383325578673533,0.13096995285458385,0.0868108847974228
3,D: 80% RE 2050 Mandate,2050,$75k-$100k,0.09688568008730317,0.13773904003059018,0.087111400032289
4,D: 80% RE 2050 Mandate,2050,$100k-$125k,0.0943717048916205,0.14518815866701354,0.07860850487118859
5,D: 80% RE 2050 Mandate,2050,$125k-$150k,0.10037283136185234,0.1525227901410719,0.07635700556115174
6,D: 80% RE 2050 Mandate,2050,>$150k,0.08965180423858465,0.15159641594836504,0.05367905223845383
0,E: 100% RE 2035 Mandate,2020,<$25k,1.0088538438745667,1.0394624181530037,0.8422574088152572
1,E: 100% RE 2035 Mandate,2020,$25k-$50k,0.9903548536788342,0.8981430011808392,0.7630042114378716
2,E: 100% RE 2035 Mandate,2020,$50k-$75k,0.9293067330667261,0.8931149473652832,0.7423032700783514
3,E: 100% RE 2035 Mandate,2020,$75k-$100k,0.8474453611894205,0.9016490547782754,0.649593121296105
4,E: 100% RE 2035 Mandate,2020,$100k-$125k,0.8639220996186489,0.9701549663883223,0.6029920538800941
5,E: 100% RE 2035 Mandate,2020,$125k-$150k,0.9837233043212853,1.066910397385551,0.6356716696815287
6,E: 100% RE 2035 Mandate,2020,>$150k,0.9372179146743443,1.1027529491050254,0.5425255161460563
0,E: 100% RE 2035 Mandate,2026,<$25k,0.3312444435090775,0.3843621055603856,0.26466224241315245
1,E: 100% RE 2035 Mandate,2026,$25k-$50k,0.32379334217480454,0.3304199046200894,0.2393183047436174
2,E: 100% RE 2035 Mandate,2026,$50k-$75k,0.29582026056555566,0.32642331560372034,0.22949383491905082
3,E: 100% RE 2035 Mandate,2026,$75k-$100k,0.2635846651525277,0.332347824660054,0.19575191502305783
4,E: 100% RE 2035 Mandate,2026,$100k-$125k,0.26233501544651355,0.3577025423369475,0.1725439411698906
5,E: 100% RE 2035 Mandate,2026,$125k-$150k,0.2905456645144737,0.38509249093883713,0.16550218139964293
6,E: 100% RE 2035 Mandate,2026,>$150k,0.2716929682895695,0.3976215661782466,0.12522707219372778
0,E: 100% RE 2035 Mandate,2030,<$25k,0.048079547920773166,0.10125530142280709,0.03565474634014686
1,E: 100% RE 2035 Mandate,2030,$25k-$50k,0.04693577043065161,0.08650576853890808,0.032989870153273045
2,E: 100% RE 2035 Mandate,2030,$50k-$75k,0.04718758502311101,0.08875896659765387,0.035207404249503686
3,E: 100% RE 2035 Mandate,2030,$75k-$100k,0.04514212016737104,0.09604604108691152,0.03247383920792842
4,E: 100% RE 2035 Mandate,2030,$100k-$125k,0.04641631044881795,0.10597322639726074,0.029029979346515668
5,E: 100% RE 2035 Mandate,2030,$125k-$150k,0.0500859419239979,0.11305747121863181,0.027673883040562234
6,E: 100% RE 2035 Mandate,2030,>$150k,0.04829997645802459,0.1195792613867354,0.019336178120755877
0,E: 100% RE 2035 Mandate,2035,<$25k,0.0031374055062794452,2.8491088027515406e-15,0.0010787477070553862
1,E: 100% RE 2035 Mandate,2035,$25k-$50k,0.0033112347842063103,4.414406008543641e-15,0.0011207658210622183
2,E: 100% RE 2035 Mandate,2035,$50k-$75k,0.002818310520443147,4.252304119324687e-15,0.0010421378618570543
3,E: 100% RE 2035 Mandate,2035,$75k-$100k,0.0026617608279198212,3.602532412377678e-15,0.001080809668143894
4,E: 100% RE 2035 Mandate,2035,$100k-$125k,0.002645382629007041,3.0179468876889947e-15,0.001145421456930563
5,E: 100% RE 2035 Mandate,2035,$125k-$150k,0.002666331280918583,2.9213047620372032e-15,0.0012129995742766408
6,E: 100% RE 2035 Mandate,2035,>$150k,0.0028304046015410426,2.4987746417923102e-15,0.001454760338643458
0,E: 100% RE 2035 Mandate,2040,<$25k,0.007706155277595922,8.787215885589621e-14,0.0024923504804892
1,E: 100% RE 2035 Mandate,2040,$25k-$50k,0.007276094519440169,4.967369731389124e-14,0.0022330791997934763
2,E: 100% RE 2035 Mandate,2040,$50k-$75k,0.005686128740079076,5.770601086912311e-14,0.001814274797205177
3,E: 100% RE 2035 Mandate,2040,$75k-$100k,0.005095963562005274,9.775352460255343e-14,0.0016483408403488874
4,E: 100% RE 2035 Mandate,2040,$100k-$125k,0.005144065023714533,1.443551146395557e-13,0.0016511497922755503
5,E: 100% RE 2035 Mandate,2040,$125k-$150k,0.005521717264049167,1.5999011040292084e-13,0.0017708790410092376
6,E: 100% RE 2035 Mandate,2040,>$150k,0.005627247059507396,1.9988609659523616e-13,0.0019906145747348586
0,E: 100% RE 2035 Mandate,2045,<$25k,0.007706155277595922,8.787215885589621e-14,0.0024923504804892
1,E: 100% RE 2035 Mandate,2045,$25k-$50k,0.007276094519440169,4.967369731389124e-14,0.0022330791997934763
2,E: 100% RE 2035 Mandate,2045,$50k-$75k,0.005686128740079076,5.770601086912311e-14,0.001814274797205177
3,E: 100% RE 2035 Mandate,2045,$75k-$100k,0.005095963562005274,9.775352460255343e-14,0.0016483408403488874
4,E: 100% RE 2035 Mandate,2045,$100k-$125k,0.005144065023714533,1.443551146395557e-13,0.0016511497922755503
5,E: 100% RE 2035 Mandate,2045,$125k-$150k,0.005521717264049167,1.5999011040292084e-13,0.0017708790410092376
6,E: 100% RE 2035 Mandate,2045,>$150k,0.005627247059507396,1.9988609659523616e-13,0.0019906145747348586
0,E: 100% RE 2035 Mandate,2050,<$25k,0.008458602569374935,1.4520438966906258e-13,0.0027195050855460786
1,E: 100% RE 2035 Mandate,2050,$25k-$50k,0.008235559992171263,8.209980003621076e-14,0.0025299215767445554
2,E: 100% RE 2035 Mandate,2050,$50k-$75k,0.006215178756310725,9.536486356342878e-14,0.001946068525224867
3,E: 100% RE 2035 Mandate,2050,$75k-$100k,0.005269926810529891,1.6151904144821713e-13,0.0016231867548636865
4,E: 100% RE 2035 Mandate,2050,$100k-$125k,0.005138459145047137,2.385025735516722e-13,0.0015323351115527396
5,E: 100% RE 2035 Mandate,2050,$125k-$150k,0.0053140312532245545,2.643322721971712e-13,0.0015256499311433764
6,E: 100% RE 2035 Mandate,2050,>$150k,0.005014066701351037,3.302413996566341e-13,0.0014644669299308528
0,F: 100% RE 2050 Mandate,2020,<$25k,1.008853843530144,1.0394624181530037,0.8422574086123397
