,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure,,,
0,G: Low Carbon 2035 Mandate,2026,Total,0.666774274,0.659418618,0.508467288,,,
1,G: Low Carbon 2035 Mandate,2026,Black,0.880504964,0.895724186,0.586361242,,,
2,G: Low Carbon 2035 Mandate,2026,Asian,0.468288997,0.559770803,0.294385887,,,
3,G: Low Carbon 2035 Mandate,2026,Latinx/Hispanic,0.406773311,0.471969338,0.282265332,,,
4,G: Low Carbon 2035 Mandate,2026,Indigenous,0.452133172,0.423250862,0.363917412,,,
5,G: Low Carbon 2035 Mandate,2026,Non-Latinx White,0.746015364,0.720219845,0.591103868,,,
0,G: Low Carbon 2035 Mandate,2030,Total,0.169654011,0.212643415,0.122642817,,,
1,G: Low Carbon 2035 Mandate,2030,Black,0.209146064,0.279332209,0.126827912,,,
2,G: Low Carbon 2035 Mandate,2030,Asian,0.121840866,0.194512496,0.076445473,,,
3,G: Low Carbon 2035 Mandate,2030,Latinx/Hispanic,0.119967179,0.185568237,0.088917663,,,
4,G: Low Carbon 2035 Mandate,2030,Indigenous,0.138848561,0.163179374,0.130572003,,,
5,G: Low Carbon 2035 Mandate,2030,Non-Latinx White,0.190413051,0.229724118,0.142160572,,,
0,G: Low Carbon 2035 Mandate,2035,Total,0.015143427,0.049432883,0.005191571,,,
1,G: Low Carbon 2035 Mandate,2035,Black,0.020300066,0.069090504,0.006507711,,,
2,G: Low Carbon 2035 Mandate,2035,Asian,0.014775583,0.052598472,0.005817418,,,
3,G: Low Carbon 2035 Mandate,2035,Latinx/Hispanic,0.016957884,0.05789176,0.007001232,,,
4,G: Low Carbon 2035 Mandate,2035,Indigenous,0.011378797,0.0343879,0.003648001,,,
5,G: Low Carbon 2035 Mandate,2035,Non-Latinx White,0.01593432,0.051015871,0.005380812,,,
0,G: Low Carbon 2035 Mandate,2040,Total,0.016704311,0.055965713,0.005825105,,,
1,G: Low Carbon 2035 Mandate,2040,Black,0.022343022,0.077755749,0.007445564,,,
2,G: Low Carbon 2035 Mandate,2040,Asian,0.016235992,0.059820557,0.006322435,,,
3,G: Low Carbon 2035 Mandate,2040,Latinx/Hispanic,0.01873711,0.065908418,0.007791429,,,
4,G: Low Carbon 2035 Mandate,2040,Indigenous,0.012021131,0.038029414,0.003835411,,,
